id,price,levy,manufacturer,model,prod_year,category,leather_interior,fuel_type,engine_volume,mileage,cylinders,gear_box_type,drive_wheels,doors,wheel,color,airbags,turbo
45751951,17562,1249.0,toyota,camry,2017,sedan,yes,petrol,2.5,39709,4,automatic,front,04-may,left wheel,black,12,False
45814106,7840,0.0,ford,transit,2001,microbus,no,diesel,2.0,230000,4,manual,front,02-mar,left wheel,white,0,True
45813492,4704,0.0,opel,vectra,1995,sedan,no,petrol,1.8,0,4,automatic,front,04-may,left wheel,green,4,False
45782859,20385,0.0,mercedes-benz,e 220,2006,sedan,yes,diesel,2.2,210000,4,tiptronic,rear,04-may,left wheel,black,8,True
45759112,549,2455.0,lexus,gx 470,2008,jeep,yes,petrol,4.7,0,8,automatic,4x4,04-may,left wheel,white,0,False
45804684,30,0.0,toyota,prius,2008,sedan,no,hybrid,1.5,169000,4,automatic,front,04-may,left wheel,white,8,False
45801525,14454,583.0,hyundai,elantra,2011,sedan,yes,petrol,1.6,158787,4,automatic,front,04-may,left wheel,silver,4,False
45768550,12074,1537.0,toyota,highlander,2009,jeep,yes,hybrid,3.3,420550,6,automatic,4x4,04-may,left wheel,blue,12,False
44944581,15681,1288.0,mercedes-benz,vito,2007,goods wagon,no,diesel,2.0,180000,6,manual,rear,04-may,left wheel,white,4,True
45760983,19444,915.0,porsche,cayenne,2014,jeep,yes,diesel,3.0,175056,6,automatic,4x4,04-may,left wheel,white,12,False
45790136,6899,0.0,bmw,x5,2000,jeep,yes,cng,4.4,200000,8,automatic,4x4,04-may,left wheel,silver,6,False
45770026,125,1750.0,toyota,highlander,2008,sedan,yes,hybrid,3.3,287274,6,automatic,4x4,04-may,left wheel,white,12,False
45542380,24462,0.0,jeep,grand cherokee,2007,jeep,yes,diesel,3.0,250000,6,tiptronic,4x4,04-may,left wheel,black,10,True
45732374,23235,707.0,hyundai,santa fe,2011,jeep,yes,diesel,2.0,162000,4,automatic,front,04-may,left wheel,grey,4,False
45369569,51746,1077.0,toyota,chr limited,2019,jeep,no,petrol,2.0,10200,4,tiptronic,front,04-may,left wheel,red,12,False
45642526,7527,1486.0,honda,fit,2010,hatchback,no,hybrid,1.3,158000,4,automatic,front,04-may,right-hand drive,black,4,False
45801668,19121,531.0,hyundai,elantra,2012,sedan,yes,petrol,1.6,103490,4,automatic,front,04-may,left wheel,silver,4,False
45661296,314,1399.0,lexus,rx 450,2010,jeep,yes,hybrid,3.5,382746,6,automatic,4x4,04-may,left wheel,silver,12,False
45815051,24462,751.0,toyota,camry,2013,sedan,yes,petrol,2.4,203200,4,automatic,front,04-may,left wheel,blue,4,False
45797488,45734,1091.0,hyundai,h1,2016,universal,yes,diesel,2.5,61057,4,automatic,front,04-may,left wheel,black,4,False
45667253,20165,650.0,volkswagen,jetta,2016,sedan,yes,petrol,1.4,11200,4,tiptronic,front,04-may,left wheel,black,8,True
45108412,21326,382.0,hyundai,sonata,2014,sedan,yes,hybrid,2.4,141000,4,tiptronic,front,04-may,left wheel,white,12,False
45810322,549,1436.0,porsche,cayenne,2010,jeep,yes,petrol,3.6,160259,6,automatic,4x4,04-may,left wheel,silver,12,False
45769564,220,1194.0,toyota,tacoma,2013,jeep,yes,petrol,4.0,239342,6,automatic,4x4,04-may,left wheel,silver,12,False
45726453,15681,503.0,toyota,prius c,2012,hatchback,no,hybrid,1.5,128000,4,variator,front,04-may,left wheel,sky blue,8,False
45732544,55390,1017.0,hyundai,santa fe,2017,jeep,yes,diesel,2.0,100734,4,automatic,front,04-may,left wheel,black,4,False
45811563,12544,0.0,toyota,aqua,2012,hatchback,no,hybrid,1.5,141500,4,automatic,front,04-may,right-hand drive,black,8,False
45699930,17249,0.0,ford,escape hybrid,2008,jeep,no,hybrid,2.3,147000,4,variator,4x4,04-may,left wheel,white,8,False
45809839,34889,891.0,honda,civic,2016,sedan,yes,petrol,2.0,87768,4,automatic,front,04-may,left wheel,blue,4,False
45767508,862,1104.0,audi,q7,2015,jeep,yes,petrol,3.0,264014,6,automatic,4x4,04-may,left wheel,black,0,False
45802148,14583,0.0,renault,megane 1.5cdi,2008,sedan,no,diesel,1.5,132542,4,manual,front,04-may,left wheel,white,10,True
45769316,392,1017.0,mercedes-benz,e 300,2017,sedan,yes,petrol,2.0,1600,4,automatic,rear,04-may,left wheel,black,12,False
44153312,38500,639.0,audi,q5,2014,jeep,yes,petrol,2.0,87000,1,tiptronic,4x4,04-may,left wheel,white,12,False
45782169,8781,0.0,mercedes-benz,c 180,2001,coupe,no,petrol,2.0,260000,4,manual,rear,02-mar,left wheel,blue,0,False
44316016,87112,0.0,mercedes-benz,gla 250,2019,jeep,yes,petrol,2.0,5323,4,tiptronic,4x4,04-may,left wheel,grey,0,True
45641216,1411,629.0,nissan,juke,2015,jeep,yes,petrol,1.6,87112,4,automatic,4x4,04-may,left wheel,black,0,False
45813399,392,919.0,bmw,535,2012,sedan,yes,petrol,3.0,204318,6,automatic,rear,04-may,left wheel,black,12,False
44679525,23521,781.0,chevrolet,cruze lt,2018,sedan,no,petrol,1.4,22000,4,automatic,front,04-may,left wheel,red,6,True
45418626,16935,530.0,ford,fusion,2013,sedan,no,petrol,1.6,83000,4,tiptronic,front,04-may,left wheel,silver,8,True
45323316,10349,0.0,toyota,voxy,2007,minivan,yes,petrol,2.4,170000,4,automatic,front,04-may,right-hand drive,black,6,False
45638910,7213,530.0,nissan,juke,2013,jeep,yes,petrol,1.6,312118,4,automatic,front,04-may,left wheel,black,0,False
45778144,5331,0.0,mercedes-benz,a 160,2004,sedan,no,petrol,1.6,130000,4,tiptronic,front,04-may,left wheel,black,6,False
45803923,20526,640.0,hyundai,tucson,2013,jeep,yes,diesel,2.0,200279,4,automatic,front,04-may,left wheel,grey,4,False
45803550,9722,765.0,hyundai,sonata,2015,sedan,yes,lpg,2.0,719847,4,automatic,front,04-may,left wheel,orange,4,False
45802190,34657,777.0,hyundai,h1,2014,minivan,yes,diesel,2.5,154672,4,automatic,front,04-may,left wheel,silver,4,False
45802203,36564,1091.0,hyundai,h1,2016,minivan,yes,diesel,2.5,110969,4,automatic,front,04-may,left wheel,black,4,False
45648175,314,779.0,toyota,camry,2013,sedan,yes,hybrid,2.5,225510,4,automatic,front,04-may,left wheel,white,12,False
45786421,5488,0.0,toyota,vitz,2001,hatchback,no,petrol,1.5,210000,4,manual,front,04-may,right-hand drive,sky blue,3,False
45802120,30063,934.0,hyundai,h1,2015,universal,yes,diesel,2.5,148105,4,automatic,front,04-may,left wheel,silver,4,False
45809414,15800,769.0,chevrolet,captiva,2011,jeep,yes,diesel,2.2,255456,4,automatic,front,04-may,left wheel,silver,4,False
45797480,43952,1249.0,hyundai,h1,2017,universal,yes,diesel,2.5,111643,4,automatic,front,04-may,left wheel,grey,4,False
45732043,53154,891.0,hyundai,santa fe,2016,jeep,yes,diesel,2.0,84506,4,automatic,front,04-may,left wheel,silver,4,False
45816646,14740,645.0,toyota,prius,2011,hatchback,no,hybrid,1.8,288000,4,automatic,front,04-may,left wheel,white,8,False
45624039,42337,0.0,ford,mustang,2016,cabriolet,yes,petrol,2.3,75000,4,tiptronic,rear,02-mar,left wheel,silver,6,True
45814804,3763,1053.0,mercedes-benz,ml 350,2014,jeep,yes,petrol,3.5,94362,6,automatic,rear,04-may,left wheel,white,12,False
45787521,18189,0.0,toyota,prius,2012,sedan,no,petrol,1.8,175000,4,automatic,front,04-may,left wheel,silver,8,False
45759890,862,2455.0,lexus,gx 470,2008,jeep,yes,petrol,4.7,263190,8,automatic,4x4,04-may,left wheel,white,0,False
45758167,220,1185.0,ford,escape,2009,jeep,yes,hybrid,2.5,193614,4,automatic,front,04-may,left wheel,white,0,False
45648538,5645,1324.0,toyota,highlander,2010,jeep,yes,hybrid,3.3,264877,6,automatic,4x4,04-may,left wheel,white,12,False
45757322,7527,830.0,toyota,yaris,2019,sedan,yes,petrol,1.5,27656,4,automatic,front,04-may,left wheel,white,12,False
45800993,21953,1187.0,honda,civic,2014,sedan,no,hybrid,1.4,16000,8,automatic,4x4,04-may,right-hand drive,white,10,False
45765301,8154,0.0,honda,cr-v,1998,jeep,no,petrol,2.0,0,4,automatic,4x4,04-may,right-hand drive,white,2,False
45771208,21953,781.0,toyota,camry,2012,sedan,no,petrol,2.5,195053,4,automatic,front,04-may,left wheel,black,0,False
45801684,19121,531.0,hyundai,elantra,2012,sedan,yes,petrol,1.6,121362,4,automatic,front,04-may,left wheel,black,4,False
45732386,36065,639.0,hyundai,santa fe,2014,jeep,yes,diesel,2.0,69191,4,automatic,front,04-may,left wheel,white,4,False
43892866,8781,1111.0,honda,fit,2012,hatchback,yes,hybrid,1.3,83000,4,tiptronic,front,04-may,right-hand drive,green,12,False
45810403,6247,760.0,chevrolet,cruze,2010,sedan,yes,petrol,1.8,40772,4,automatic,front,04-may,left wheel,black,4,False
45810513,16289,642.0,chevrolet,orlando,2012,jeep,yes,diesel,2.0,172000,4,automatic,front,04-may,left wheel,grey,4,False
45807330,77775,1604.0,mercedes-benz,gl 63 amg,2014,jeep,yes,petrol,5.5,433811,8,automatic,4x4,04-may,left wheel,black,10,False
45733554,2822,0.0,bmw,520 vanos,1995,sedan,yes,petrol,2.0,350000,6,manual,rear,04-may,left wheel,blue,2,False
45769914,549,781.0,subaru,forester,2012,jeep,yes,petrol,2.5,148213,4,automatic,4x4,04-may,left wheel,blue,0,False
45744824,6981,1095.0,daewoo,lacetti,2008,sedan,yes,petrol,2.0,103246,4,automatic,front,04-may,left wheel,black,4,False
45792882,27284,891.0,hyundai,elantra,2016,sedan,no,petrol,2.0,105394,4,tiptronic,front,04-may,left wheel,black,12,False
45330228,32929,0.0,bmw,428 sport line,2013,coupe,yes,petrol,2.0,160000,4,automatic,rear,02-mar,left wheel,black,12,True
45776745,18817,0.0,nissan,patrol,1990,jeep,no,diesel,2.8,333333,4,manual,rear,04-may,left wheel,black,0,True
45749534,4234,0.0,honda,civic,1997,hatchback,yes,petrol,1.4,0,4,manual,front,02-mar,left wheel,blue,6,False
45789555,15053,0.0,mercedes-benz,e 320,2004,sedan,yes,petrol,3.2,214000,6,tiptronic,rear,04-may,left wheel,grey,8,False
45797276,15458,966.0,hyundai,genesis,2009,coupe,yes,petrol,2.0,123346,4,automatic,front,04-may,left wheel,black,4,False
45809760,2901,473.0,chevrolet,cruze,2014,sedan,yes,petrol,1.4,80827,4,automatic,front,04-may,left wheel,green,12,False
45810325,706,1138.0,porsche,911,2013,coupe,yes,petrol,3.8,64464,6,automatic,rear,02-mar,left wheel,black,12,False
45813375,314,382.0,ford,fusion,2015,sedan,yes,hybrid,2.0,91760,4,automatic,front,04-may,left wheel,black,12,False
45756975,15681,1811.0,lexus,gx 460,2010,jeep,yes,petrol,4.6,275240,8,automatic,4x4,04-may,left wheel,silver,0,False
45776758,26657,0.0,mercedes-benz,sprinter,2004,microbus,no,diesel,2.2,300000,4,manual,rear,04-may,left wheel,white,1,True
45550733,10663,988.0,toyota,prius,2007,hatchback,no,petrol,1.5,318400,4,automatic,front,04-may,left wheel,silver,6,False
44094036,12858,765.0,ford,focus se,2015,sedan,no,petrol,2.0,91200,4,automatic,front,04-may,left wheel,sky blue,10,False
45642797,1019,917.0,bmw,x5,2013,jeep,yes,diesel,3.0,137802,6,automatic,4x4,04-may,left wheel,black,12,False
45760895,549,917.0,bmw,535,2013,sedan,yes,hybrid,3.0,151586,6,automatic,rear,04-may,left wheel,white,12,False
45742789,12858,0.0,kia,picanto,2016,hatchback,no,petrol,1.2,107000,4,manual,front,04-may,left wheel,silver,2,False
45783859,15000,0.0,bmw,328,2008,sedan,yes,cng,3.0,210408,6,tiptronic,rear,04-may,left wheel,white,12,False
45808992,85553,1156.0,ford,explorer,2017,jeep,yes,petrol,2.3,100567,4,automatic,front,04-may,left wheel,black,4,False
45731735,44752,1091.0,hyundai,h1,2016,universal,yes,diesel,2.5,86000,4,automatic,front,04-may,left wheel,grey,4,False
45797948,17158,687.0,hyundai,elantra,2010,sedan,yes,petrol,1.6,122740,4,automatic,front,04-may,left wheel,white,4,False
45782067,12231,0.0,mitsubishi,airtrek,2005,jeep,no,lpg,2.4,144000,4,tiptronic,4x4,04-may,right-hand drive,white,16,False
45534351,11917,11714.0,mercedes-benz,e 500 amg,2003,sedan,yes,petrol,5.0,150000,12,tiptronic,rear,04-may,right-hand drive,white,12,False
45753393,1254,0.0,mitsubishi,lancer,1997,sedan,no,petrol,1.3,100000,4,manual,rear,04-may,left wheel,red,0,False
45624923,94,0.0,honda,fit,2003,hatchback,no,petrol,1.5,178000,4,variator,front,04-may,right-hand drive,silver,4,False
45726679,25591,640.0,ssangyong,korando,2013,jeep,yes,diesel,2.0,85704,4,automatic,front,04-may,left wheel,silver,4,False
45803059,14897,836.0,hyundai,santa fe,2010,jeep,yes,diesel,2.0,58962,4,automatic,front,04-may,left wheel,white,4,False
45770405,23521,779.0,toyota,camry,2013,sedan,yes,hybrid,2.5,90000,4,tiptronic,front,04-may,left wheel,white,12,False
45787329,3450,0.0,renault,clio,1995,hatchback,no,petrol,1.2,50000,3,manual,front,02-mar,left wheel,green,0,False
45763505,706,777.0,mazda,616,2014,sedan,yes,petrol,2.5,0,4,automatic,front,04-may,left wheel,red,12,False
45767451,1019,1537.0,toyota,highlander,2009,sedan,yes,hybrid,3.3,318358,6,automatic,4x4,04-may,left wheel,black,12,False
45636958,16935,765.0,ford,fusion,2015,sedan,yes,petrol,2.0,71454,4,automatic,front,04-may,left wheel,black,0,False
45757670,19444,781.0,toyota,camry,2012,sedan,yes,petrol,2.5,0,4,tiptronic,front,04-may,left wheel,black,6,False
45733244,11604,639.0,hyundai,sonata,2014,sedan,yes,lpg,2.0,346470,4,automatic,front,04-may,left wheel,silver,4,False
45802837,51965,891.0,hyundai,santa fe,2016,jeep,yes,diesel,2.0,59515,4,automatic,front,04-may,left wheel,blue,4,False
45646428,706,394.0,toyota,camry,2014,sedan,yes,hybrid,2.5,115312,4,automatic,front,04-may,left wheel,grey,12,False
45801896,9408,0.0,mercedes-benz,c 220,1999,sedan,no,diesel,2.2,111111,4,manual,rear,04-may,left wheel,silver,4,True
45797732,13328,1347.0,hyundai,h1,2008,minivan,yes,diesel,2.5,74444,4,automatic,front,04-may,left wheel,yellow,4,False
45762683,17876,0.0,nissan,serena,2012,minivan,no,petrol,2.0,143000,4,tiptronic,front,04-may,right-hand drive,white,12,False
45767013,549,2866.0,nissan,maxima,2004,sedan,yes,petrol,3.5,299709,6,automatic,front,04-may,left wheel,grey,12,False
45732074,20071,0.0,toyota,rav 4,2008,jeep,no,petrol,2.4,135000,4,automatic,4x4,04-may,left wheel,silver,8,False
45731782,22894,862.0,hyundai,h1,2011,minivan,yes,diesel,2.5,124444,4,automatic,front,04-may,left wheel,yellow,4,False
45662111,2901,503.0,honda,civic,2012,sedan,yes,hybrid,1.5,146403,4,automatic,front,04-may,left wheel,white,0,False
45766794,15681,0.0,mitsubishi,pajero,1997,jeep,no,petrol,2.4,142000,4,automatic,4x4,02-mar,left wheel,blue,6,False
45764126,39829,1811.0,lexus,gx 460,2010,jeep,yes,petrol,4.6,155821,8,automatic,4x4,04-may,left wheel,black,0,False
45768549,706,1646.0,lexus,gx 460,2015,jeep,yes,petrol,4.6,102907,8,automatic,4x4,04-may,left wheel,black,0,False
44698379,18660,0.0,hyundai,sonata,2013,sedan,yes,petrol,2.4,130000,4,tiptronic,front,04-may,left wheel,black,6,False
45770233,22580,1017.0,mercedes-benz,e 300,2017,sedan,yes,petrol,2.0,50930,4,automatic,rear,04-may,left wheel,black,12,False
45803455,11604,639.0,hyundai,sonata,2014,sedan,yes,lpg,2.0,264872,4,automatic,front,04-may,left wheel,silver,4,False
45760030,314,259.0,chevrolet,volt,2014,hatchback,yes,hybrid,1.4,131893,4,automatic,front,04-may,left wheel,brown,0,False
45810339,5488,751.0,gmc,terrain,2013,jeep,yes,petrol,2.4,138958,4,automatic,front,04-may,left wheel,black,12,False
45759786,4300,0.0,mercedes-benz,208,1985,universal,no,diesel,2.5,1111111,4,manual,rear,04-may,left wheel,black,1,False
45642844,18817,609.0,toyota,camry,2018,sedan,yes,hybrid,2.5,35058,4,automatic,front,04-may,left wheel,white,12,False
44921934,21169,697.0,honda,hr-v ex,2015,jeep,no,petrol,1.8,33330,4,automatic,4x4,04-may,left wheel,grey,8,False
45462592,9095,0.0,fiat,500,2011,coupe,no,petrol,1.2,141000,4,automatic,front,02-mar,right-hand drive,red,4,False
45634898,1568,639.0,volkswagen,jetta,2014,sedan,yes,diesel,2.0,82392,4,automatic,front,04-may,left wheel,silver,12,False
45777114,3136,0.0,subaru,legacy,2005,goods wagon,no,petrol,2.0,180000,6,tiptronic,4x4,04-may,right-hand drive,blue,6,True
45451626,17876,585.0,hyundai,elantra sport limited,2013,sedan,yes,petrol,1.8,117920,4,tiptronic,front,04-may,left wheel,grey,12,False
45732976,11290,891.0,hyundai,sonata,2016,sedan,yes,lpg,2.0,279787,4,automatic,front,04-may,left wheel,silver,4,False
44452971,36065,1399.0,toyota,sienna,2010,minivan,yes,petrol,3.5,227200,6,tiptronic,front,04-may,left wheel,white,16,False
45648000,862,394.0,toyota,camry,2014,sedan,yes,hybrid,2.5,130478,4,automatic,front,04-may,left wheel,white,12,False
45796845,21395,781.0,hyundai,h1,2012,universal,yes,diesel,2.5,166144,4,automatic,front,04-may,left wheel,silver,4,False
45733140,15681,891.0,hyundai,sonata,2016,sedan,yes,lpg,2.0,258706,4,automatic,front,04-may,left wheel,silver,4,False
45762282,627,475.0,chevrolet,volt,2012,jeep,yes,hybrid,1.4,188419,4,automatic,front,04-may,left wheel,red,0,False
45810003,40070,690.0,toyota,aqua,2016,hatchback,yes,petrol,1.5,25807,4,automatic,front,04-may,left wheel,black,4,False
44875253,11917,0.0,mercedes-benz,a 170,2008,hatchback,no,petrol,1.7,180000,4,automatic,front,04-may,left wheel,golden,8,False
45807577,72130,1079.0,lexus,nx 300,2018,jeep,yes,petrol,2.0,18918,4,tiptronic,front,04-may,left wheel,black,6,True
45729867,35927,640.0,ssangyong,rexton,2013,jeep,yes,diesel,2.0,137267,4,automatic,front,04-may,left wheel,silver,4,False
45801397,21012,308.0,toyota,prius,2014,sedan,no,hybrid,1.8,160000,4,automatic,4x4,04-may,left wheel,white,4,False
45765622,21012,1823.0,toyota,tacoma,2018,sedan,yes,petrol,3.5,27358,6,automatic,front,04-may,left wheel,grey,12,False
45781785,13172,1361.0,kia,carnival grand,2009,minivan,yes,diesel,2.9,84176,4,automatic,front,04-may,left wheel,white,6,False
45802035,15624,707.0,hyundai,genesis,2011,coupe,yes,petrol,2.0,107005,4,automatic,front,04-may,left wheel,grey,4,False
45811318,4547,0.0,opel,vectra,1997,sedan,no,petrol,1.6,15000,4,manual,front,04-may,left wheel,beige,2,False
45751101,5488,1273.0,infiniti,qx60,2015,jeep,yes,petrol,3.5,124154,6,automatic,4x4,04-may,left wheel,black,12,False
45801611,20005,531.0,hyundai,elantra,2012,sedan,yes,petrol,1.6,104997,4,automatic,front,04-may,left wheel,white,4,False
45792460,36110,924.0,volkswagen,passat,2017,sedan,yes,petrol,1.8,27728,6,tiptronic,front,04-may,left wheel,silver,8,False
45798511,7840,0.0,mercedes-benz,e 240 e 240,1998,sedan,yes,petrol,2.4,777777,6,manual,rear,04-may,left wheel,blue,4,False
45765057,470,1077.0,mazda,1000,2019,jeep,yes,petrol,2.0,11566,4,automatic,4x4,04-may,left wheel,black,12,False
45782173,1300,0.0,audi,50,2018,coupe,yes,petrol,0.5,4000,1,tiptronic,rear,>5,right-hand drive,blue,0,False
45802937,43880,891.0,hyundai,santa fe,2016,jeep,yes,diesel,2.0,113700,4,automatic,front,04-may,left wheel,silver,4,False
45675386,29479,584.0,mercedes-benz,c 250,2014,sedan,yes,petrol,1.8,69000,4,tiptronic,rear,04-may,left wheel,grey,8,True
45795520,17249,0.0,toyota,camry,2011,sedan,yes,hybrid,2.5,152000,4,variator,front,04-may,left wheel,white,12,False
45778720,9408,0.0,toyota,vitz funkargo,2003,universal,no,petrol,1.5,181926,4,automatic,4x4,04-may,right-hand drive,silver,2,False
45802938,44213,891.0,hyundai,santa fe,2016,jeep,yes,diesel,2.0,50255,4,automatic,front,04-may,left wheel,red,4,False
45801304,8467,2078.0,bmw,325,2001,sedan,yes,petrol,2.5,252800,6,manual,rear,04-may,left wheel,grey,6,False
45808583,627,915.0,audi,a6,2014,sedan,yes,petrol,3.0,164488,6,automatic,4x4,04-may,left wheel,silver,12,False
45395938,21950,831.0,ford,transit,2011,goods wagon,no,diesel,2.4,125000,4,manual,4x4,04-may,left wheel,white,2,True
45810208,706,475.0,fiat,500,2012,hatchback,yes,petrol,1.4,164574,4,automatic,front,04-may,left wheel,red,12,False
45766275,3136,473.0,chevrolet,cruze,2014,sedan,yes,petrol,1.4,156992,4,automatic,front,04-may,left wheel,black,12,False
45793851,3450,0.0,opel,vectra,1995,sedan,no,cng,2.0,0,4,manual,front,04-may,left wheel,white,2,False
45805913,9408,0.0,mitsubishi,pajero,1998,jeep,no,petrol,3.5,11000,6,tiptronic,4x4,04-may,right-hand drive,silver,4,True
45793479,31500,0.0,nissan,pathfinder,2010,jeep,yes,lpg,4.0,90200,6,tiptronic,4x4,04-may,left wheel,black,12,False
43390500,20385,0.0,mitsubishi,delica,2005,minivan,yes,petrol,3.0,184000,6,automatic,4x4,04-may,right-hand drive,white,12,False
45769518,314,1053.0,mercedes-benz,e 350,2014,sedan,yes,diesel,3.5,149486,6,automatic,4x4,04-may,left wheel,silver,12,False
45792823,2300,0.0,volkswagen,golf,1996,sedan,no,cng,2.0,0,4,manual,front,04-may,left wheel,green,0,False
45776494,7840,0.0,mercedes-benz,vaneo,2004,universal,no,lpg,1.9,170000,4,tiptronic,front,04-may,left wheel,silver,4,False
45787317,56450,0.0,toyota,camry se,2018,sedan,yes,petrol,2.5,25000,4,tiptronic,front,04-may,left wheel,blue,12,False
45813281,1490,639.0,volkswagen,jetta,2014,universal,yes,diesel,2.0,113214,4,automatic,front,04-may,left wheel,grey,12,False
45772050,627,836.0,toyota,tacoma,2012,sedan,yes,petrol,2.7,394069,4,automatic,rear,04-may,left wheel,black,12,False
45788160,13172,0.0,honda,cr-v,2002,jeep,no,petrol,2.4,260000,4,automatic,4x4,04-may,left wheel,silver,6,False
45776729,19757,0.0,nissan,patrol y60,1990,jeep,no,diesel,2.8,222222,4,manual,rear,04-may,left wheel,black,0,True
45646578,4704,917.0,audi,a7,2013,hatchback,yes,petrol,3.0,301707,6,automatic,4x4,04-may,left wheel,grey,0,False
45815974,706,751.0,hyundai,sonata,2013,sedan,yes,petrol,2.4,175827,4,automatic,front,04-may,left wheel,black,12,False
45773662,5802,1055.0,mercedes-benz,e 350,2013,sedan,yes,diesel,3.5,107800,6,automatic,rear,04-may,left wheel,grey,12,False
45767823,25716,777.0,toyota,camry,2014,sedan,no,petrol,2.5,115200,4,automatic,front,04-may,left wheel,silver,8,False
45810599,14426,642.0,chevrolet,orlando,2012,jeep,yes,lpg,2.0,132036,4,automatic,front,04-may,left wheel,white,4,False
45709646,10820,0.0,toyota,rav 4,2001,jeep,no,petrol,2.0,91000,4,automatic,4x4,02-mar,right-hand drive,silver,4,False
45808960,45436,1172.0,ford,explorer,2011,jeep,yes,petrol,3.5,129177,4,automatic,front,04-may,left wheel,white,4,False
45816333,11917,893.0,hyundai,i30,2008,hatchback,no,diesel,1.6,201000,4,manual,front,04-may,left wheel,black,8,False
45802892,41281,765.0,hyundai,santa fe,2015,jeep,yes,diesel,2.0,185811,4,automatic,front,04-may,left wheel,black,4,False
45805683,4391,0.0,nissan,altima,1998,sedan,no,petrol,2.4,358400,4,manual,front,04-may,left wheel,brown,2,False
45810372,3058,1872.0,porsche,cayenne,2018,sedan,yes,petrol,3.6,28968,6,automatic,4x4,04-may,left wheel,white,12,False
45791663,3700,0.0,alfa romeo,147,2001,coupe,yes,petrol,1.8,240000,4,manual,front,02-mar,left wheel,black,4,False
45816588,15681,0.0,suzuki,grand vitara,2008,jeep,no,petrol,1.6,98000,4,automatic,4x4,02-mar,left wheel,black,12,False
45813342,6586,645.0,lexus,ct 200h,2011,hatchback,yes,hybrid,1.8,122302,4,automatic,front,04-may,left wheel,black,0,False
45798451,12544,0.0,toyota,prius,2007,hatchback,no,hybrid,1.5,140000,4,automatic,front,04-may,left wheel,beige,6,False
45803832,30063,639.0,hyundai,tucson,2014,jeep,yes,diesel,2.0,120000,4,automatic,front,04-may,left wheel,white,4,False
45156280,72130,1885.0,porsche,panamera,2010,hatchback,yes,petrol,4.8,196800,8,tiptronic,4x4,04-may,left wheel,white,8,False
45801000,21639,0.0,hyundai,veloster,2015,hatchback,no,petrol,1.6,17200,4,tiptronic,front,02-mar,left wheel,red,10,False
